"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","19730","test_validlogin[vithyamurugesan-1234]","testfiles","2026-06-09","passed","2026-06-09","TestLogindemo","test_dataDrivenExcel","",""
"","19386","test_validlogin[vithy-12]","testfiles","2026-06-09","broken","2026-06-09","TestLogindemo","test_dataDrivenExcel","",""
